"Deal ID","Deal Name","Category","Sub Category","Supplier Name","Supplier Product Code","EAN No.","MPN","Product Name","Supplier Category","Supplier Subcategory","Long description","Web product name","ETIM Class No","Colour","Material","Finish","Attribute 1 Title","Attribute 1","Attribute 2 Title","Attribute 2","Attribute 3 Title","Attribute 3","Attribute 4 Title","Attribute 4","Attribute 5 Title","Attribute 5","Feature 1","Feature 2","Feature 3","Feature 4","Feature 5","Environmental text","Keywords","Alternative products","Linked products","Marketing Completeness","Image Url"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE SOAK 1200X1000DS",,"2888","P10 Soakaway 1200x1000mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1200","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X1000S4",,"1434","P15 Man Ring 1800x1000mm SR4  ","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X0500S4",,"1428","P15 Man Ring 1800x0500mm SR4  ","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X0750S4",,"1431","P15 Man Ring 1800x0750mm SR4  ","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY1800X0500S4",,"2863","P10 Soakaway 1800x0500 SR4","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X500-2-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY1800X0750S4",,"2864","P10 Soakaway 1800x0750 SR4","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X750-3-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE S/WAY1800X1000S4",,"1505","P15 Soakaway 1800x1000 SR4    ","Concrete Drainage","n/a",,"Precast Concrete Soakaway 1800","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X1000-4-RUNGDOUBLE-STEP-SOAKAWAY.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X500 DS",,"2831","P15 Man Ring 1800x0500mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X500-2-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X750 DS",,"2833","P15 Man Ring 1800x0750mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X750-3-RUNGDOUBLE-STEP.jpg"
46111,"Precast Concrete Pipes & Manholes","3. Civils & Landscaping","Concrete Pipe and Rings","FP McCann Ltd","PRE RING 1800X1000DS",,"2829","P15 Man Ring 1800x1000mm SR4 D/STEP","Concrete Drainage","n/a",,"Precast Concrete Manhole Ring","n/a","Grey","Precast Concrete","Concrete","Chemical Resistance","DC4","Low Carbon","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Safety","Significant reduction in health and safety risks associated with using precast concrete","Cost Effective","Greater cost savings associated with using precast concrete over a traditional system","N/A","N/A","Quick and easy installation","No concrete backfill required, in accordance with ‘Sewers for Adoption’ 7th edition","N/A","N/A","N/A","More environmentally friendly than a traditional system, almost 40% less carbon emitted during the concrete casting process","Concrete, Drainage, Precast",,,75,"MCCANN-CR-1800X1000-4-RUNGDOUBLE-STEP.jpg"
